Case #1: 190
6 17 173718
6 18 89080
6 19 358224
6 20 226993
6 21 276407
6 22 178682
6 23 154311
6 24 95230
6 25 246381
6 26 169421
6 27 198900
6 28 244461
7 8 250288
7 9 342384
7 10 429368
7 11 401442
7 12 453639
7 13 416757
7 14 271649
7 15 254335
7 16 507108
7 17 248615
7 18 353869
7 19 500344
7 20 330286
7 21 435318
7 22 235057
7 23 367351
7 24 351425
7 25 211050
7 26 225796
7 27 492434
7 28 441329
8 9 141080
8 10 270662
8 11 163902
8 12 257471
8 13 215453
8 14 70345
8 15 144737
8 16 328634
8 17 28789
8 18 134043
8 19 280518
8 20 192547
8 21 314294
8 22 15231
8 23 166047
8 24 131599
8 25 101452
8 26 24492
8 27 254894
8 28 227425
9 10 160844
9 11 127701
9 12 271207
9 13 204764
9 14 162441
9 15 215869
9 16 363733
9 17 120885
9 18 15631
9 19 315617
9 20 153544
9 21 296200
9 22 125849
9 23 80862
9 24 21781
9 25 193548
9 26 135110
9 27 218693
9 28 171012
10 11 191414
10 12 215294
10 13 297213
10 14 200969
10 15 260454
10 16 357506
10 17 250467
10 18 176475
10 19 268880
10 20 220059
10 21 147045
10 22 255431
10 23 210444
10 24 139063
10 25 303739
10 26 246170
10 27 224552
10 28 300594
11 12 236748
11 13 287783
11 14 234247
11 15 250904
11 16 440594
11 17 192691
11 18 112070
11 19 241764
11 20 281245
11 21 168499
11 22 179133
11 23 177301
11 24 149482
11 25 241559
11 26 188394
11 27 90992
11 28 153335
12 13 218527
12 14 187126
12 15 199304
12 16 238200
12 17 255798
12 18 260642
12 19 190084
12 20 337469
12 21 68249
12 22 242240
12 23 325873
12 24 292988
12 25 242589
12 26 232979
12 27 145756
12 28 244340
13 14 236814
13 15 304073
13 16 395679
13 17 195258
13 18 220395
13 19 347563
13 20 358308
13 21 225728
13 22 200222
13 23 285626
13 24 226545
13 25 267921
13 26 190961
13 27 196791
13 28 259134
14 15 74392
14 16 368517
14 17 68672
14 18 146810
14 19 320401
14 20 150343
14 21 255375
14 22 55114
14 23 187408
14 24 152960
14 25 117677
14 26 45853
14 27 283301
14 28 267308
15 16 401557
15 17 124542
15 18 213864
15 19 359463
15 20 224735
15 21 267553
15 22 129506
15 23 151435
15 24 222816
15 25 43285
15 26 120245
15 27 341896
15 28 273564
16 17 308439
16 18 348102
16 19 428284
16 20 412203
16 21 306449
16 22 313403
16 23 336719
16 24 354252
16 25 399624
16 26 322664
16 27 383956
16 28 482540
17 18 105254
17 19 260323
17 20 219015
17 21 285505
17 22 13558
17 23 145852
17 24 111404
17 25 99779
17 26 22819
17 27 283683
17 28 225752
18 19 299986
18 20 169175
18 21 280569
18 22 118812
18 23 65231
18 24 37412
18 25 205033
18 26 128073
18 27 203062
18 28 155381
19 20 409632
19 21 121835
19 22 265287
19 23 344779
19 24 306136
19 25 332986
19 26 274548
19 27 199342
19 28 144605
20 21 287797
20 22 205457
20 23 215444
20 24 144063
20 25 268020
20 26 196196
20 27 213315
20 28 305594
21 22 299063
21 23 345800
21 24 286108
21 25 310838
21 26 289802
21 27 77507
21 28 176091
22 23 150816
22 24 116368
22 25 86221
22 26 9261
22 27 270125
22 28 212194
23 24 71381
23 25 194720
23 26 141555
23 27 268293
23 28 200174
24 25 202589
24 26 125629
24 27 240474
24 28 161531
25 26 76960
25 27 332551
25 28 230279
26 27 279386
26 28 221455
27 28 244327
Case #49: 253
1 2 103154
1 3 174961
1 4 192211
1 5 7113
1 6 301144
1 7 134398
1 8 169650
1 9 269071
1 10 76320
1 11 27226
1 12 158878
1 13 191436
1 14 56768
1 15 44448
1 16 3217
1 17 169847
1 18 138894
1 19 61036
1 20 146223
1 21 271223
1 22 205948
1 23 214184
2 3 278115
2 4 288931
2 5 110267
2 6 227348
2 7 237552
2 8 272804
2 9 248771
2 10 179474
2 11 130380
2 12 262032
2 13 294590
2 14 159922
2 15 147602
2 16 106371
2 17 273001
2 18 35740
2 19 164190
2 20 174707
2 21 374377
2 22 309102
2 23 148566
3 4 367172
3 5 167848
3 6 449937
3 7 309359
3 8 330385
3 9 429806
3 10 237055
3 11 195753
3 12 319613
3 13 316286
3 14 217503
3 15 205183
3 16 178178
3 17 338374
3 18 269702
3 19 185886
3 20 304249
3 21 285327
3 22 330798
3 23 156876
4 5 199324
4 6 418395
4 7 326609
4 8 361861
4 9 454848
4 10 186871
4 11 213003
4 12 269429
4 13 252359
4 14 248979
4 15 230225
4 16 188994
4 17 210353
4 18 324671
4 19 246813
4 20 332000
4 21 448227
4 22 391725
4 23 399961
5 6 301823
5 7 141511
5 8 162537
5 9 261958
5 10 83433
5 11 27905
5 12 151765
5 13 184323
5 14 63881
5 15 37335
5 16 10330
5 17 170526
5 18 146007
5 19 53923
5 20 139110
5 21 264110
5 22 198835
5 23 207071
6 7 264955
6 8 385560
6 9 433301
6 10 315220
6 11 273918
6 12 397778
6 13 250048
6 14 295668
6 15 339158
6 16 297927
6 17 416539
6 18 263088
6 19 264051
6 20 287463
6 21 474238
6 22 408963
6 23 375914
7 8 304048
7 9 389243
7 10 210718
7 11 155190
7 12 179740
7 13 309821
7 14 191166
7 15 164620
7 16 137615
7 17 267815
7 18 217554
7 19 181208
7 20 62845
7 21 391395
7 22 326120
7 23 330380
8 9 424495
8 10 245970
8 11 190442
8 12 214992
8 13 258429
8 14 112882
8 15 199872
8 16 172867
8 17 264790
8 18 308544
8 19 216460
8 20 301647
8 21 331696
8 22 361372
8 23 369608
9 10 345391
9 11 289863
9 12 413723
9 13 410396
9 14 325839
9 15 224623
9 16 272288
9 17 432484
9 18 213031
9 19 279996
9 20 326398
9 21 490183
9 22 424908
9 23 325857
10 11 103546
10 12 235198
10 13 253530
10 14 133088
10 15 120768
10 16 79537
10 17 239307
10 18 215214
10 19 123130
10 20 222543
10 21 261356
10 22 268042
10 23 276278
11 12 179670
11 13 184627
11 14 77560
11 15 65240
11 16 24009
11 17 142621
11 18 166120
11 19 81828
11 20 167015
11 21 292015
11 22 212378
11 23 234976
12 13 336088
12 14 102110
12 15 189100
12 16 162095
12 17 322291
12 18 297772
12 19 205688
12 20 242585
12 21 343914
12 22 350600
12 23 358836
13 14 233978
13 15 221658
13 16 194653
13 17 327248
13 18 330330
13 19 130400
13 20 248763
13 21 340587
13 22 275312
13 23 391394
14 15 101216
14 16 59985
14 17 220181
14 18 195662
14 19 103578
14 20 202991
14 21 241804
14 22 248490
14 23 256726
15 16 47665
15 17 207861
15 18 183342
15 19 91258
15 20 101775
15 21 301445
15 22 236170
15 23 169736
16 17 166630
16 18 142111
16 19 64253
16 20 149440
16 21 274440
16 22 209165
16 23 217401
17 18 302307
17 19 224449
17 20 309636
17 21 261906
17 22 317318
17 23 377597
18 19 199930
18 20 210447
18 21 410117
18 22 344842
18 23 112826
19 20 118363
19 21 210187
19 22 144912
19 23 260994
20 21 328550
20 22 263275
20 23 271511
21 22 355099
21 23 442203
22 23 405906
Case #50: 820
1 2 134980
1 3 67802
1 4 133879
1 5 95894
1 6 175812
1 7 108351
1 8 110231
1 9 94028
1 10 70034
1 11 133040
1 12 87759
1 13 100482
1 14 104024
1 15 24794
1 16 92548
1 17 111269
1 18 152092
1 19 137602
1 20 81369
1 21 144406
1 22 117970
1 23 60290
1 24 143231
1 25 107517
1 26 132865
1 27 140105
1 28 66153
1 29 107059
1 30 49316
1 31 155055
1 32 83974
1 33 51956
1 34 119850
1 35 161630
1 36 70147
1 37 122461
1 38 133747
1 39 92523
1 40 160548
1 41 109788
2 3 100694
2 4 103885
2 5 97916
2 6 61952
2 7 157442
2 8 76317
2 9 100210
2 10 102926
2 11 48444
2 12 148342
2 13 86066
2 14 78949
2 15 110186
2 16 102418
2 17 77355
2 18 133175
2 19 159441
2 20 114261
2 21 114285
2 22 127840
2 23 85650
2 24 94533
2 25 128584
2 26 154704
2 27 109984
2 28 128813
2 29 79489
2 30 85664
2 31 149111
2 32 113073
2 33 130366
2 34 116389
2 35 63903
2 36 112175
2 37 113582
2 38 111290
2 39 143578
2 40 105245
2 41 25192
3 4 103049
3 5 64028
3 6 144982
3 7 97765
3 8 42429
3 9 26226
3 10 2232
3 11 70302
3 12 102796
3 13 32680
3 14 47487
3 15 43008
3 16 70915
3 17 43467
3 18 99287
3 19 106772
3 20 13567
3 21 122773
3 22 96337
3 23 120939
3 24 112401
3 25 83038
3 26 106499
3 27 118472
3 28 97310
3 29 39257
3 30 18486
3 31 87253
3 32 44205
3 33 111507
3 34 84927
3 35 93828
3 36 94414
3 37 79694
3 38 71058
3 39 98032
3 40 97273
3 41 78958
4 5 154124
4 6 41933
4 7 150207
4 8 145478
4 9 114100
4 10 105281
4 11 152329
4 12 157663
4 13 135729
4 14 135361
4 15 109085
4 16 81614
4 17 146516
4 18 163698
4 19 172849
4 20 116616
4 21 96880
4 22 107036
4 23 166922
4 24 9352
4 25 167893
4 26 168112
4 27 92579
4 28 108009
4 29 142306
4 30 84563
4 31 186932
4 32 132079
4 33 122206
4 34 102786
4 35 46498
4 36 140397
4 37 111527
4 38 174107
4 39 152899
4 40 184523
4 41 129077
5 6 159868
5 7 130966
5 8 23675
5 9 90254
5 10 66260
5 11 49472
5 12 93624
5 13 31348
5 14 111515
5 15 107036
5 16 72510
5 17 22637
5 18 78457
5 19 136983
5 20 55536
5 21 102814
5 22 97932
5 23 133182
5 24 163476
5 25 73866
5 26 132246
5 27 107115
5 28 98905
5 29 24771
5 30 82514
5 31 94393
5 32 108233
5 33 113102
5 34 148955
5 35 153196
5 36 107687
5 37 42597
5 38 56572
5 39 88860
5 40 82787
5 41 72724
6 7 185142
6 8 138269
6 9 119554
6 10 143548
6 11 110396
6 12 124118
6 13 148018
6 14 98293
6 15 151018
6 16 123547
6 17 139307
6 18 189642
6 19 214782
6 20 154883
6 21 138813
6 22 148969
6 23 147602
6 24 32581
6 25 143876
6 26 210045
6 27 134512
6 28 142944
6 29 141441
6 30 126496
6 31 211063
6 32 132417
6 33 128747
6 34 60853
6 35 88431
6 36 146938
6 37 153460
6 38 173242
6 39 128882
6 40 167197
6 41 87144
7 8 109367
7 9 123991
7 10 99997
7 11 137240
7 12 128580
7 13 116790
7 14 123318
7 15 103801
7 16 68593
7 17 108329
7 18 150677
7 19 106393
7 20 111332
7 21 120451
7 22 94015
7 23 101111
7 24 159559
7 25 148338
7 26 101656
7 27 116150
7 28 42198
7 29 110213
7 30 79279
7 31 173911
7 32 124795
7 33 56395
7 34 124289
7 35 162231
7 36 74586
7 37 98506
7 38 109792
7 39 133344
7 40 52197
7 41 139751
8 9 68655
8 10 44661
8 11 27873
8 12 72025
8 13 9749
8 14 89916
8 15 85437
8 16 67178
8 17 1038
8 18 56858
8 19 115384
8 20 55996
8 21 81215
8 22 92600
8 23 111583
8 24 154830
8 25 52267
8 26 110647
8 27 85516
8 28 93573
8 29 3172
8 30 60915
8 31 72794
8 32 86634
8 33 104279
8 34 127356
8 35 131597
8 36 86088
8 37 37265
8 38 34973
8 39 67261
8 40 61188
8 41 51125
9 10 23994
9 11 96528
9 12 76570
9 13 58906
9 14 21261
9 15 69234
9 16 92677
9 17 69693
9 18 125513
9 19 132998
9 20 35329
9 21 117984
9 22 118099
9 23 94713
9 24 123452
9 25 56812
9 26 128261
9 27 113683
9 28 100576
9 29 65483
9 30 44712
9 31 109015
9 32 17979
9 33 86379
9 34 58701
9 35 67602
9 36 68188
9 37 105920
9 38 97284
9 39 71806
9 40 84010
9 41 75018
10 11 72534
10 12 100564
10 13 34912
10 14 45255
10 15 45240
10 16 68683
10 17 45699
10 18 101519
10 19 109004
10 20 11335
10 21 120541
10 22 94105
10 23 118707
10 24 114633
10 25 80806
10 26 104267
10 27 120704
10 28 95078
10 29 41489
10 30 20718
10 31 85021
10 32 41973
10 33 109275
10 34 82695
10 35 91596
10 36 92182
10 37 81926
10 38 73290
10 39 95800
10 40 99505
10 41 81190
11 12 99898
11 13 37622
11 14 77009
11 15 108246
11 16 95051
11 17 28911
11 18 84731
11 19 143257
11 20 83869
11 21 109088
11 22 120473
11 23 83710
11 24 142977
11 25 80140
11 26 138520
11 27 113389
11 28 121446
11 29 31045
11 30 83724
11 31 100667
11 32 111133
11 33 128426
11 34 114449
11 35 112347
11 36 110235
11 37 65138
11 38 62846
11 39 95134
11 40 89061
11 41 23252
12 13 81774
12 14 92715
12 15 112553
12 16 112641
12 17 73063
12 18 128883
12 19 187409
12 20 111899
12 21 69385
12 22 138063
12 23 80519
12 24 156699
12 25 19758
12 26 182672
12 27 65084
12 28 86382
12 29 75197
12 30 121282
12 31 144819
12 32 58591
12 33 72185
12 34 63265
12 35 111165
12 36 53994
12 37 109290
12 38 106998
12 39 4764
12 40 133213
12 41 123150
13 14 80167
13 15 75688
13 16 76927
13 17 10787
13 18 66607
13 19 118789
13 20 46247
13 21 90964
13 22 102349
13 23 102864
13 24 145081
13 25 62016
13 26 114052
13 27 95265
13 28 103322
13 29 6577
13 30 51166
13 31 71878
13 32 76885
13 33 94530
13 34 117607
13 35 126508
13 36 76339
13 37 47014
13 38 38378
13 39 77010
13 40 64593
13 41 60874
14 15 79230
14 16 113938
14 17 90954
14 18 146774
14 19 133851
14 20 56590
14 21 139245
14 22 139360
14 23 110858
14 24 130874
14 25 72957
14 26 129114
14 27 134944
14 28 116721
14 29 86744
14 30 65973
14 31 130276
14 32 34124
14 33 102524
14 34 79962
14 35 88863
14 36 84333
14 37 127181
14 38 118545
14 39 87951
14 40 105271
14 41 53757
15 16 113923
15 17 86475
15 18 127298
15 19 112808
15 20 56575
15 21 165781
15 22 139345
15 23 85084
15 24 118437
15 25 126046
15 26 108071
15 27 161480
15 28 90947
15 29 82265
15 30 24522
15 31 130261
15 32 87213
15 33 76750
15 34 127935
15 35 136836
15 36 58559
15 37 122702
15 38 114066
15 39 117317
15 40 140281
15 41 84994
16 17 66140
16 18 82084
16 19 174986
16 20 80018
16 21 51858
16 22 25422
16 23 85308
16 24 90966
16 25 119445
16 26 170249
16 27 56159
16 28 26395
16 29 70350
16 30 89401
16 31 105318
16 32 108992
16 33 40592
16 34 108486
16 35 93638
16 36 58783
16 37 29913
16 38 93989
16 39 107877
16 40 120790
16 41 77226
17 18 55820
17 19 116422
17 20 57034
17 21 80177
17 22 91562
17 23 112621
17 24 155868
17 25 53305
17 26 111685
17 27 84478
17 28 92535
17 29 4210
17 30 61953
17 31 73832
17 32 87672
17 33 105317
17 34 128394
17 35 130559
17 36 87126
17 37 36227
17 38 36011
17 39 68299
17 40 62226
17 41 52163
18 19 172242
18 20 112854
18 21 133942
18 22 107506
18 23 167392
18 24 173050
18 25 109125
18 26 167505
18 27 129641
18 28 108479
18 29 60030
18 30 117773
18 31 129652
18 32 143492
18 33 122676
18 34 184214
18 35 175722
18 36 140867
18 37 92047
18 38 91831
18 39 124119
18 40 118046
18 41 107983
19 20 120339
19 21 150441
19 22 200408
19 23 197892
19 24 182201
19 25 167651
19 26 4737
19 27 146140
19 28 148591
19 29 112212
19 30 88286
19 31 188178
19 32 150977
19 33 162788
19 34 171291
19 35 192221
19 36 171367
19 37 152649
19 38 144013
19 39 182645
19 40 54196
19 41 148758
20 21 131876
20 22 105440
20 23 130042
20 24 125968
20 25 92141
20 26 115602
20 27 132039
20 28 106413
20 29 52824
20 30 32053
20 31 96356
20 32 53308
20 33 120610
20 34 94030
20 35 102931
20 36 103517
20 37 93261
20 38 84625
20 39 107135
20 40 110840
20 41 92525
21 22 77280
21 23 137166
21 24 106232
21 25 73179
21 26 145704
21 27 4301
21 28 78253
21 29 84387
21 30 141259
21 31 154009
21 32 112012
21 33 92450
21 34 132650
21 35 50382
21 36 110641
21 37 81771
21 38 116188
21 39 64621
21 40 96245
21 41 129084
22 23 110730
22 24 116388
22 25 144867
22 26 195671
22 27 81581
22 28 51817
22 29 95772
22 30 114823
22 31 130740
22 32 134414
22 33 66014
22 34 133908
22 35 119060
22 36 84205
22 37 55335
22 38 119411
22 39 133299
22 40 146212
22 41 102648
23 24 176274
23 25 100277
23 26 193155
23 27 132865
23 28 58913
23 29 109441
23 30 109606
23 31 174742
23 32 76734
23 33 44716
23 34 112610
23 35 149553
23 36 26525
23 37 115221
23 38 126507
23 39 85283
23 40 153308
23 41 106962
24 25 176457
24 26 177464
24 27 101931
24 28 117361
24 29 151658
24 30 93915
24 31 196284
24 32 141431
24 33 131558
24 34 93434
24 35 55850
24 36 149749
24 37 120879
24 38 183459
24 39 161463
24 40 193875
24 41 119725
25 26 162914
25 27 75314
25 28 106140
25 29 55439
25 30 101524
25 31 125061
25 32 38833
25 33 91943
25 34 83023
25 35 121395
25 36 73752
25 37 89532
25 38 87240
25 39 14994
25 40 113455
25 41 103392
26 27 141403
26 28 143854
26 29 107475
26 30 93023
26 31 183441
26 32 146240
26 33 158051
26 34 166554
26 35 187484
26 36 166630
26 37 147912
26 38 139276
26 39 177908
26 40 49459
26 41 144021
27 28 73952
27 29 88688
27 30 136958
27 31 152875
27 32 114147
27 33 88149
27 34 128349
27 35 46081
27 36 106340
27 37 77470
27 38 120489
27 39 60320
27 40 91944
27 41 124783
28 29 96745
28 30 115469
28 31 131713
28 32 82597
28 33 14197
28 34 82091
28 35 120033
28 36 32388
28 37 56308
28 38 67594
28 39 91146
28 40 94395
28 41 103621
29 30 57743
29 31 75966
29 32 83462
29 33 101107
29 34 124184
29 35 133085
29 36 82916
29 37 40437
29 38 31801
29 39 70433
29 40 58016
29 41 54297
30 31 105739
30 32 62691
30 33 101272
30 34 103413
30 35 112314
30 36 83081
30 37 98180
30 38 89544
30 39 116518
30 40 115759
30 41 60472
31 32 126994
31 33 145910
31 34 167716
31 35 176617
31 36 148217
31 37 110059
31 38 107767
31 39 140055
31 40 133982
31 41 123919
32 33 68400
32 34 71564
32 35 85581
32 36 50209
32 37 123899
32 38 115263
32 39 53827
32 40 101989
32 41 87881
33 34 67894
33 35 134230
33 36 18191
33 37 70505
33 38 81791
33 39 76949
33 40 108592
33 41 105174
34 35 126303
34 36 86085
34 37 138399
34 38 149685
34 39 68029
34 40 142711
34 41 91197
35 36 135790
35 37 123551
35 38 143701
35 39 106401
35 40 138025
35 41 89095
36 37 88696
36 38 99982
36 39 58758
36 40 126783
36 41 86983
37 38 72238
37 39 104526
37 40 98453
37 41 88390
38 39 102234
38 40 89817
38 41 86098
39 40 128449
39 41 118386
40 41 112313
Case #51: 780
1 2 161450
1 3 156009
1 4 21307
1 5 74297
1 6 117449
1 7 123864
1 8 57748
1 9 9974
1 10 99607
1 11 143301
1 12 68215
1 13 57572
1 14 24542
1 15 93687
1 16 118561
1 17 85918
1 18 75661
1 19 13926
1 20 108767
1 21 141002
1 22 78885
1 23 79979
1 24 57858
1 25 147417
1 26 80034
1 27 59010
1 28 125704
1 29 33981
1 30 20580
1 31 145436
1 32 40306
1 33 111070
1 34 38658
1 35 238269
1 36 92222
1 37 36298
1 38 63610
1 39 167084
1 40 40381
2 3 231726
2 4 151860
2 5 196926
2 6 150527
2 7 169818
2 8 190640
2 9 151476
2 10 180828
2 11 276899
2 12 201107
2 13 186810
2 14 147171
2 15 179309
2 16 251453
2 17 208547
2 18 151378
2 19 159241
2 20 118272
2 21 253048
2 22 230650
2 23 231744
2 24 219308
2 25 193371
2 26 125988
2 27 189563
2 28 267592
2 29 175869
2 30 162082
2 31 267615
2 32 169544
2 33 243077
2 34 182519
2 35 287025
2 36 225114
2 37 177800
2 38 188842
2 39 297637
2 40 181883
3 4 153961
3 5 148102
3 6 221557
3 7 234351
3 8 174732
3 9 150669
3 10 92218
3 11 239714
3 12 178702
3 13 145619
3 14 158650
3 15 113562
3 16 216421
3 17 220026
3 18 80348
3 19 149987
3 20 113454
3 21 214807
3 22 214946
3 23 178515
3 24 121996
3 25 228788
3 26 166883
3 27 132815
3 28 218385
3 29 122028
3 30 154688
3 31 241849
3 32 128353
3 33 245178
3 34 135071
3 35 215995
3 36 202709
3 37 124345
3 38 151657
3 39 257579
3 40 174489
4 5 54444
4 6 96142
4 7 106350
4 8 40234
4 9 11333
4 10 79754
4 11 136756
4 12 58625
4 13 50890
4 14 4689
4 15 101098
4 16 101047
4 17 66065
4 18 73613
4 19 7381
4 20 106719
4 21 121149
4 22 80244
4 23 81338
4 24 79165
4 25 129903
4 26 62520
4 27 47081
4 28 123656
4 29 31933
4 30 14035
4 31 138891
4 32 38258
4 33 91217
4 34 32113
4 35 216962
4 36 74708
4 37 29616
4 38 48699
4 39 155155
4 40 33836
5 6 150586
5 7 159340
5 8 93224
5 9 64323
5 10 134198
5 11 189746
5 12 103691
5 13 97318
5 14 57679
5 15 77228
5 16 154037
5 17 119055
5 18 85334
5 19 60371
5 20 118440
5 21 66705
5 22 133234
5 23 134328
5 24 118017
5 25 182893
5 26 113331
5 27 15287
5 28 175117
5 29 83394
5 30 53717
5 31 191881
5 32 80052
5 33 144207
5 34 85103
5 35 270799
5 36 129152
5 37 84060
5 38 101689
5 39 200221
5 40 73518
6 7 202492
6 8 136376
6 9 107475
6 10 174959
6 11 232898
6 12 146843
6 13 147032
6 14 100831
6 15 197240
6 16 193462
6 17 162207
6 18 169755
6 19 103523
6 20 178615
6 21 217291
6 22 176386
6 23 134944
6 24 175307
6 25 226045
6 26 158662
6 27 135299
6 28 219798
6 29 128075
6 30 110177
6 31 235033
6 32 121750
6 33 187359
6 34 128255
6 35 313104
6 36 167123
6 37 125758
6 38 144841
6 39 243373
6 40 116670
7 8 66116
7 9 113890
7 10 142133
7 11 239313
7 12 55649
7 13 149224
7 14 109585
7 15 120789
7 16 105995
7 17 170961
7 18 171583
7 19 112277
7 20 204689
7 21 215462
7 22 182801
7 23 111835
7 24 156796
7 25 134851
7 26 67468
7 27 144053
7 28 230006
7 29 137897
7 30 105623
7 31 185457
7 32 131958
7 33 196113
7 34 134670
7 35 298391
7 36 132334
7 37 135966
7 38 148154
7 39 252127
7 40 125424
8 9 47774
8 10 119988
8 11 173197
8 12 89481
8 13 83108
8 14 43469
8 15 139878
8 16 139827
8 17 104845
8 18 113461
8 19 46161
8 20 146567
8 21 159929
8 22 119024
8 23 120118
8 24 111614
8 25 168683
8 26 101300
8 27 77937
8 28 163890
8 29 72167
8 30 39507
8 31 140275
8 32 65842
8 33 129997
8 34 68554
8 35 253209
8 36 114942
8 37 69850
8 38 85140
8 39 193935
8 40 59308
9 10 91087
9 11 133327
9 12 58241
9 13 47598
9 14 14568
9 15 103661
9 16 108587
9 17 75944
9 18 70321
9 19 17260
9 20 98793
9 21 131028
9 22 88859
9 23 89953
9 24 67832
9 25 137443
9 26 70060
9 27 49036
9 28 120364
9 29 28641
9 30 10606
9 31 135462
9 32 34966
9 33 101096
9 34 41684
9 35 228295
9 36 86041
9 37 26324
9 38 58270
9 39 165034
9 40 30407
10 11 188816
10 12 136925
10 13 94721
10 14 82989
10 15 127986
10 16 180801
10 17 144365
10 18 95662
10 19 85681
10 20 62556
10 21 200903
10 22 158544
10 23 140267
10 24 153938
10 25 136570
10 26 74665
10 27 125381
10 28 167487
10 29 71130
10 30 92335
10 31 190951
10 32 77455
10 33 169517
10 34 84173
10 35 156258
10 36 154462
10 37 73447
10 38 100759
10 39 206681
10 40 98828
11 12 183664
11 13 141277
11 14 139991
11 15 210160
11 16 213887
11 17 201367
11 18 159366
11 19 129375
11 20 192472
11 21 256451
11 22 202238
11 23 174173
11 24 195860
11 25 244922
11 26 195483
11 27 174459
11 28 209409
11 29 117686
11 30 136029
11 31 211421
11 32 124011
11 33 226519
11 34 104643
11 35 345074
11 36 206352
11 37 120003
11 38 121229
11 39 254133
11 40 155830
12 13 93575
12 14 53936
12 15 65140
12 16 50346
12 17 115312
12 18 115934
12 19 56628
12 20 149040
12 21 159813
12 22 129491
12 23 56186
12 24 101147
12 25 79202
12 26 111767
12 27 88404
12 28 174357
12 29 82248
12 30 49974
12 31 129808
12 32 76309
12 33 140464
12 34 79021
12 35 242742
12 36 76685
12 37 84565
12 38 92505
12 39 196478
12 40 69775
13 14 55579
13 15 116065
13 16 138596
13 17 108939
13 18 65271
13 19 50255
13 20 98377
13 21 164023
13 22 116509
13 23 80078
13 24 101765
13 25 167452
13 26 105394
13 27 82031
13 28 115314
13 29 23591
13 30 43601
13 31 143412
13 32 29916
13 33 134091
13 34 36634
13 35 250979
13 36 112257
13 37 21274
13 38 53220
13 39 160038
13 40 63402
14 15 104333
14 16 104282
14 17 61376
14 18 78302
14 19 12070
14 20 111408
14 21 124384
14 22 83479
14 23 84573
14 24 82400
14 25 133138
14 26 65755
14 27 42392
14 28 128345
14 29 36622
14 30 18724
14 31 142126
14 32 42947
14 33 95906
14 34 35348
14 35 221651
14 36 77943
14 37 34305
14 38 51934
14 39 150466
14 40 38525
15 16 115486
15 17 165709
15 18 117006
15 19 107025
15 20 83900
15 21 143933
15 22 172572
15 23 99797
15 24 83477
15 25 115226
15 26 53321
15 27 61941
15 28 188831
15 29 97108
15 30 100371
15 31 194948
15 32 103433
15 33 189311
15 34 105517
15 35 284244
15 36 89147
15 37 94791
15 38 126737
15 39 228025
15 40 120172
16 17 96990
16 18 156685
16 19 104635
16 20 189791
16 21 192078
16 22 177498
16 23 58518
16 24 151493
16 25 129548
16 26 162113
16 27 138750
16 28 206728
16 29 115005
16 30 100320
16 31 79462
16 32 121330
16 33 190810
16 34 111423
16 35 293088
16 36 26339
16 37 117322
16 38 94837
16 39 246824
16 40 120121
17 18 139678
17 19 71992
17 20 172784
17 21 185760
17 22 144855
17 23 145949
17 24 143776
17 25 178524
17 26 127131
17 27 103768
17 28 189721
17 29 97998
17 30 65338
17 31 176452
17 32 104323
17 33 155828
17 34 96724
17 35 281573
17 36 123329
17 37 95681
17 38 113310
17 39 211842
17 40 45537
18 19 74273
18 20 33106
18 21 152039
18 22 134598
18 23 98167
18 24 91583
18 25 185541
18 26 104115
18 27 70047
18 28 138037
18 29 41680
18 30 74340
18 31 161501
18 32 48005
18 33 164830
18 34 54723
18 35 251920
18 36 130346
18 37 43997
18 38 71309
18 39 177231
18 40 94141
19 20 102745
19 21 127076
19 22 86171
19 23 87265
19 24 71784
19 25 133491
19 26 68447
19 27 45084
19 28 124316
19 29 32593
19 30 6654
19 31 131510
19 32 38918
19 33 97144
19 34 24732
19 35 224343
19 36 78296
19 37 30276
19 38 56080
19 39 153158
19 40 26455
20 21 185145
20 22 167704
20 23 131273
20 24 124689
20 25 199126
20 26 137221
20 27 103153
20 28 171143
20 29 74786
20 30 107446
20 31 194607
20 32 81111
20 33 197936
20 34 87829
20 35 218814
20 36 163452
20 37 77103
20 38 104415
20 39 210337
20 40 127247
21 22 199939
21 23 201033
21 24 184722
21 25 239015
21 26 171632
21 27 81992
21 28 241822
21 29 150099
21 30 120422
21 31 232507
21 32 146757
21 33 78349
21 34 151808
21 35 204094
21 36 195857
21 37 150765
21 38 168394
21 39 266926
21 40 140223
22 23 158864
22 24 136743
22 25 206354
22 26 141310
22 27 117947
22 28 184641
22 29 97552
22 30 79517
22 31 204373
22 32 103877
22 33 170007
22 34 97595
22 35 297206
22 36 154952
22 37 95235
22 38 127181
22 39 233945
22 40 99318
23 24 134661
23 25 135388
23 26 142404
23 27 119041
23 28 148210
23 29 69137
23 30 80611
23 31 137980
23 32 62812
23 33 171101
23 34 82180
23 35 277399
23 36 32179
23 37 71454
23 38 86116
23 39 205584
23 40 100412
24 25 180349
24 26 136798
24 27 102730
24 28 174531
24 29 82808
24 30 78438
24 31 202629
24 32 89133
24 33 168928
24 34 91217
24 35 296127
24 36 150080
24 37 80491
24 38 112437
24 39 219255
24 40 98239
25 26 168547
25 27 167606
25 28 240218
25 29 143861
25 30 129176
25 31 209010
25 32 150186
25 33 219666
25 34 140279
25 35 292828
25 36 155887
25 37 146178
25 38 171707
25 39 275680
25 40 148977
26 27 100223
26 28 186176
26 29 94453
26 30 61793
